time_ms,lat,lon,ax,ay,az,gx,gy,gz,roll_deg,pitch_deg,yaw_deg
147663,55.590164,37.672534,0.116119,1.110910,9.287109,0.030534,-0.290076,0.061069,-5.602828,-0.510667,103.297477
147763,55.590164,37.672534,-0.105345,0.896629,11.258734,-0.183206,-0.076336,0.458015,-5.587650,0.972027,101.066444
147863,55.590164,37.672534,-0.978031,0.768539,10.352529,0.000000,0.091603,0.610687,-5.161734,-1.270155,95.816101
147963,55.590164,37.672534,-0.571017,0.715866,9.343373,-0.183206,0.061069,0.503817,-4.988904,-2.288625,90.307960
148063,55.590164,37.672534,-0.772130,0.384269,7.327454,-0.183206,-0.106870,0.427481,-5.849253,-3.058903,85.505187
148163,55.590164,37.672534,-0.129287,-0.270545,8.141484,-0.381679,-0.412214,0.137405,-7.943556,-0.734158,82.728401
148263,55.590164,37.672534,-0.318429,-0.924162,10.097546,-0.320611,-0.091603,-0.213740,-10.947372,1.371477,82.582809
148363,55.590164,37.672534,-0.785298,-1.792060,11.593922,-0.015267,0.320611,-0.595420,-12.051031,0.967883,86.415382
148463,55.590164,37.672534,-1.768118,-1.802834,9.672575,0.198473,0.244275,-0.854962,-10.812080,-1.631412,94.050399
148563,55.590164,37.672534,-1.237802,-0.802058,7.309498,0.167939,0.000000,-0.885496,-8.878822,-2.395714,102.261489
148663,55.590164,37.672534,0.317232,0.019154,6.997055,0.091603,-0.213740,-0.702290,-7.481295,0.250006,108.712120
148763,55.590164,37.672534,0.685939,0.150835,9.089588,-0.030534,-0.152672,-0.442748,-6.391098,2.584704,113.898071
148864,55.590164,37.672534,0.349553,0.712275,10.406398,-0.229008,-0.213740,0.061069,-6.736773,4.022687,115.192611
148964,55.590164,37.672534,-0.486023,1.165976,11.370064,-0.106870,0.198473,0.244275,-7.197515,2.712568,113.228950
149129,55.590164,37.672534,-0.730232,0.195127,7.609970,0.045802,0.076336,0.015267,-5.629720,-0.863677,110.777122
149229,55.590164,37.672534,0.203507,-0.305261,6.671443,-0.198473,-0.335878,-0.061069,-6.098713,0.229682,110.730293
149329,55.590164,37.672534,0.288501,-0.754173,9.313445,-0.320611,-0.320611,-0.259542,-8.039451,3.744405,111.795326
149429,55.590164,37.672534,-0.269348,-1.417367,11.919533,-0.259542,0.198473,-0.412214,-10.129879,4.571469,114.957046
149529,55.590164,37.672534,-1.230620,-1.862689,9.361330,0.000000,0.229008,-0.549618,-10.555086,0.897370,120.568595
149629,55.590164,37.672534,-1.118092,-1.443704,8.588002,0.076336,-0.015267,-0.564885,-9.599096,0.625281,125.118728
149729,55.590164,37.672534,0.202310,-0.571017,6.181829,0.030534,-0.152672,-0.534351,-9.139008,1.987361,130.177429
149829,55.590164,37.672534,1.005565,0.186748,8.245631,0.076336,-0.091603,-0.290076,-7.572516,3.999935,133.785827
149929,55.590164,37.672534,0.584185,0.440533,10.545262,0.000000,0.045802,0.091603,-6.307951,4.159277,134.409896
150029,55.590164,37.672534,-0.196325,0.561440,12.378024,0.015267,0.274809,0.412214,-5.954301,3.105204,131.673675
150129,55.590164,37.672534,-1.063026,0.731429,9.866506,-0.015267,0.198473,0.412214,-5.279771,-0.542048,128.453933
150230,55.590164,37.672534,-0.688333,-0.070629,7.510611,-0.106870,0.000000,0.167939,-5.574795,-2.781250,126.101264
150330,55.590164,37.672534,-0.073023,-0.353145,7.281964,-0.137405,-0.305344,0.076336,-6.782361,-1.287760,124.944053
150430,55.590164,37.672534,-0.927753,-0.602142,9.850943,-0.152672,-0.244275,-0.259542,-7.743071,0.893240,126.131744
150530,55.590164,37.672534,-0.951695,-1.154005,11.425131,-0.213740,-0.183206,-0.442748,-8.832358,2.444532,129.402435
150630,55.590164,37.672534,-1.480814,-1.567005,10.773908,-0.045802,0.229008,-0.641221,-9.367753,0.849737,134.952377
150730,55.590164,37.672534,-1.047463,-0.726640,7.897274,-0.030534,-0.045802,-0.625954,-9.048423,0.211683,141.071029
150830,55.590164,37.672534,0.265756,-0.160412,6.582858,-0.091603,-0.213740,-0.503817,-9.376333,2.382440,145.635864
150930,55.590164,37.672534,0.672771,0.204704,8.152257,-0.030534,-0.152672,-0.229008,-8.889396,4.505427,149.500839
151030,55.590164,37.672534,0.088585,0.942118,10.202891,0.030534,-0.122137,0.091603,-7.781257,5.344316,149.276748
151161,55.590171,37.672489,0.272939,0.897826,11.884818,0.030534,0.427481,0.458015,-6.330444,4.027481,144.915573
151261,55.590171,37.672489,-1.152808,0.960075,8.687361,-0.091603,0.305344,0.290076,-5.651280,-1.156133,141.614532
151361,55.590171,37.672489,-0.424971,-0.337582,7.176620,-0.213740,-0.305344,0.183206,-6.676410,-1.169431,139.077896
151461,55.590171,37.672489,-0.404620,-0.713472,8.355765,-0.167939,-0.335878,0.000000,-8.116813,1.095859,137.856231
151561,55.590171,37.672489,-1.115698,-0.946907,10.753558,-0.229008,-0.183206,-0.412214,-9.516949,3.140074,139.529739
151661,55.590171,37.672489,-0.875081,-1.161188,12.246342,-0.137405,0.320611,-0.641221,-10.543376,3.038349,143.938140
151761,55.590171,37.672489,-0.851139,-1.283292,9.118318,0.015267,0.213740,-0.473282,-10.737741,0.727454,149.185791
151861,55.590171,37.672489,0.004788,-0.317232,6.307524,-0.045802,-0.106870,-0.274809,-10.355496,0.366950,152.711074
151961,55.590171,37.672489,1.052252,0.408211,7.809886,0.030534,-0.045802,-0.137405,-9.554647,2.009291,154.376449
152061,55.590171,37.672489,-0.266953,0.350751,10.714053,-0.061069,0.152672,0.015267,-8.713928,1.399826,154.955871
152161,55.590171,37.672489,-1.138443,0.154426,12.230780,-0.152672,0.045802,0.198473,-8.989578,0.740561,153.689468
152261,55.590171,37.672489,-1.270124,0.281319,9.819819,-0.137405,0.122137,0.122137,-9.285891,-1.768303,152.606384
152361,55.590171,37.672489,-1.666364,0.225055,8.723275,-0.152672,0.183206,-0.015267,-9.520012,-4.322727,151.794830
152461,55.590171,37.672489,-0.367510,-0.326809,7.254431,-0.106870,-0.213740,-0.091603,-10.336400,-3.621554,151.873031
152561,55.590171,37.672489,-0.306458,-0.477643,8.962695,-0.045802,-0.229008,-0.244275,-10.179065,-1.299236,152.894821
152662,55.590171,37.672489,-0.803255,-1.138443,10.928334,-0.106870,-0.076336,-0.320611,-10.337884,0.139026,155.441650
152762,55.590171,37.672489,-1.709460,-1.381454,9.965865,0.045802,0.030534,-0.335878,-9.877278,-1.271248,158.051574
152862,55.590171,37.672489,-0.555455,-1.723825,8.647857,0.167939,0.167939,-0.259542,-9.172895,-1.695467,160.710388
152962,55.590171,37.672489,0.262165,-0.572214,5.760449,0.137405,-0.137405,-0.152672,-7.670940,-1.701921,162.507232
153262,55.590194,37.672477,0.322020,0.861913,10.808624,-0.061069,-0.137405,0.549618,-5.558678,1.712029,158.472763
153362,55.590194,37.672477,-1.065420,1.177947,10.806230,-0.061069,0.305344,0.549618,-5.090663,-1.031898,153.402877
153462,55.590194,37.672477,-1.352724,0.669179,8.772356,-0.122137,0.122137,0.335878,-4.683969,-4.151113,149.117340
153562,55.590194,37.672477,0.047884,-0.288501,7.320271,-0.183206,-0.259542,0.198473,-5.478895,-3.323462,146.502059
153662,55.590194,37.672477,-0.555455,-0.019154,8.876503,-0.213740,-0.305344,-0.152672,-6.676180,-0.931638,145.950561
153762,55.590194,37.672477,-0.673968,-0.811634,10.512940,-0.213740,-0.320611,-0.580153,-8.174250,1.627914,149.606674
153862,55.590194,37.672477,-0.834379,-1.150414,11.517308,-0.167939,0.259542,-0.763359,-9.463038,1.976086,155.496383
153962,55.590194,37.672477,-0.447716,-0.766144,8.741230,0.061069,0.259542,-0.641221,-9.431055,0.668930,161.794418
154062,55.590194,37.672477,0.307655,0.141258,6.154295,0.000000,-0.061069,-0.396947,-8.455375,-0.084049,166.730026
154162,55.590194,37.672477,0.928950,0.650026,7.864953,-0.030534,-0.183206,-0.213740,-7.747205,2.030560,169.396926
154262,55.590194,37.672477,0.478840,0.827197,10.035297,0.030534,-0.015267,0.152672,-7.265911,3.063063,169.845062
154362,55.590194,37.672477,0.053870,1.180341,12.826936,0.183206,0.183206,0.564885,-5.118182,2.580830,166.255844
154462,55.590194,37.672477,-0.824802,1.510741,10.374076,-0.030534,0.183206,0.641221,-3.694151,-0.266990,160.701934
154562,55.590194,37.672477,-0.907402,0.723049,6.800730,-0.259542,0.015267,0.412214,-4.375231,-2.925645,156.035827
154662,55.590194,37.672477,-0.049081,-0.219069,6.930017,-0.137405,-0.244275,0.320611,-5.844895,-1.788900,152.519454
154762,55.590194,37.672477,-1.010353,-0.165200,9.985018,-0.213740,-0.213740,-0.106870,-6.961818,-0.248678,151.708602
154862,55.590194,37.672477,-0.940921,-1.187524,11.028890,-0.198473,-0.106870,-0.442748,-8.608425,0.729493,154.724136
154962,55.590194,37.672477,-0.980426,-0.837971,10.875661,-0.076336,0.305344,-0.580153,-8.937152,-0.905879,159.520767
155127,55.590194,37.672477,0.162806,0.355539,6.573281,0.061069,-0.015267,-0.335878,-8.722378,-2.958293,166.791198
155227,55.590194,37.672477,1.074997,0.815226,7.570466,0.030534,-0.091603,-0.152672,-7.668138,-1.543142,169.391540
155327,55.590194,37.672477,0.123301,0.647632,9.900025,0.091603,-0.106870,0.396947,-6.591138,0.203628,168.386871
155427,55.590194,37.672477,-0.890643,0.900220,12.436681,0.076336,0.137405,0.671756,-5.091171,-0.090601,163.491455
155527,55.590194,37.672477,-1.436521,1.454478,10.542868,-0.091603,0.213740,0.641221,-3.906456,-3.262347,157.458312
155627,55.590194,37.672477,-1.250970,0.942118,7.337031,-0.122137,0.183206,0.366412,-3.286437,-6.847303,152.471359
155727,55.590194,37.672477,-0.466869,-0.033519,7.231686,-0.335878,-0.381679,0.183206,-4.704883,-5.339383,149.694946
155827,55.590194,37.672477,-1.228225,-0.368707,9.507375,-0.366412,-0.229008,-0.167939,-7.869726,-2.225309,149.437683
155927,55.590194,37.672477,-1.398214,-0.946907,10.583569,-0.229008,-0.122137,-0.564885,-9.898646,-1.379734,152.897766
156027,55.590194,37.672477,-0.694318,-1.312023,10.201694,-0.045802,0.198473,-0.641221,-10.588859,-1.803847,158.437026
156127,55.590194,37.672477,-0.429759,-1.242591,9.162611,0.091603,0.320611,-0.580153,-10.436154,-3.045262,163.936996
156227,55.590194,37.672477,0.272939,-0.120907,6.446388,0.091603,-0.091603,-0.259542,-9.434487,-3.262152,167.670089
156327,55.590194,37.672477,0.873884,0.306458,8.184579,-0.015267,-0.167939,-0.061069,-8.721271,-1.037461,169.617660
156427,55.590194,37.672477,-0.183156,0.895431,10.672155,0.000000,-0.091603,0.396947,-7.855170,0.057499,167.857696
156527,55.590194,37.672477,-0.414197,0.703895,12.212823,0.122137,0.167939,0.687023,-6.404229,-0.079206,162.348098
156627,55.590194,37.672477,-1.739387,1.333570,10.374076,0.000000,0.335878,0.519084,-4.512108,-4.139178,156.603012
156727,55.590194,37.672477,-1.346738,-0.013168,6.907272,-0.167939,-0.213740,0.381679,-4.757734,-5.315100,152.973983
156827,55.590194,37.672477,-1.127669,-0.463278,8.046913,-0.274809,-0.198473,0.045802,-6.589155,-3.531918,150.980331
156928,55.590194,37.672477,-1.656788,-0.960075,9.296686,-0.213740,-0.244275,-0.320611,-8.883090,-1.761480,152.614120
