time_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,temp_raw
15332,-15960,-372,-1656,-731,-57,-1,-3592
15342,-16026,-332,-1650,-721,-62,11,-3593
15352,-16046,-226,-1650,-703,-56,1,-3599
15362,-15986,-242,-1770,-690,-59,-35,-3598
15372,-16064,-282,-1642,-699,-63,-67,-3601
15382,-16040,-360,-1586,-695,-58,-71,-3587
15392,-16008,-380,-1670,-687,-62,-66,-3595
15403,-16026,-342,-1738,-680,-50,-48,-3597
15413,-16000,-298,-1694,-663,-45,-49,-3595
15423,-16142,-234,-2102,-612,-72,-72,-3593
15433,-15950,-448,-1622,-660,-146,-80,-3593
15443,-15920,-404,-1540,-722,-59,-42,-3595
15453,-16044,-322,-1614,-715,-47,-18,-3595
15463,-15956,-290,-1778,-723,-44,-18,-3590
15473,-16002,-364,-1696,-747,-63,-3,-3592
15483,-16010,-366,-1612,-742,-62,10,-3593
15493,-16114,-300,-1736,-732,-49,-2,-3595
15503,-16026,-332,-1652,-721,-74,-40,-3587
15513,-16004,-300,-1620,-716,-67,-75,-3589
15523,-16028,-308,-1692,-733,-70,-79,-3597
15533,-16040,-356,-1724,-738,-75,-45,-3587
15543,-15990,-390,-1640,-725,-66,-30,-3593
15553,-15990,-368,-1694,-721,-46,-7,-3592
15563,-16030,-308,-1714,-724,-32,-20,-3592
15574,-15996,-366,-1754,-730,-34,-29,-3591
15584,-15970,-386,-1656,-742,-78,-43,-3586
15594,-16054,-324,-1618,-742,-75,-29,-3585
15604,-16004,-272,-1652,-731,-55,-25,-3593
15614,-16066,-254,-1622,-723,-66,-30,-3588
15624,-15982,-352,-1688,-710,-62,-49,-3594
15634,-15982,-368,-1676,-704,-74,-53,-3592
15644,-16008,-306,-1738,-700,-23,-32,-3590
15654,-16006,-330,-1682,-716,-25,-23,-3595
15664,-15996,-348,-1662,-727,-50,-35,-3593
15674,-16050,-328,-1674,-733,-68,-35,-3588
15684,-16132,-322,-1692,-732,-65,-26,-3594
15694,-16034,-292,-1732,-728,-70,-36,-3593
15704,-15946,-370,-1690,-710,-56,-44,-3592
15714,-16034,-316,-1624,-697,-57,-45,-3588
15724,-16018,-366,-1674,-699,-80,-61,-3593
15734,-16000,-310,-1706,-717,-47,-49,-3587
15744,-15918,-290,-1670,-727,-34,-50,-3586
15754,-15980,-360,-1756,-726,-35,-19,-3586
15764,-16058,-362,-1776,-716,-38,-14,-3587
15774,-15990,-314,-1646,-719,-65,-24,-3591
15784,-16010,-246,-1644,-722,-70,-46,-3592
15794,-16010,-246,-1644,-722,-70,-46,-3592
15804,-16048,-324,-1584,-712,-81,-42,-3591
15814,-15964,-382,-1612,-731,-61,-22,-3587
15824,-16026,-342,-1712,-736,-46,1,-3594
15834,-16026,-342,-1712,-736,-46,1,-3594
15844,-16060,-340,-1706,-711,-64,-29,-3590
15854,-15992,-356,-1680,-701,-84,-61,-3590
15864,-15970,-340,-1638,-698,-75,-50,-3601
15874,-16026,-350,-1614,-705,-62,-24,-3591
15884,-16036,-300,-1712,-705,-51,-18,-3591
15894,-16054,-296,-1660,-700,-55,-41,-3585
15904,-15960,-308,-1668,-691,-75,-68,-3587
15915,-16030,-306,-1706,-683,-49,-66,-3589
15925,-16008,-396,-1662,-700,-47,-81,-3589
15935,-16032,-392,-1730,-706,-39,-75,-3590
15945,-15954,-418,-1618,-717,-74,-55,-3590
15955,-16026,-316,-1656,-714,-66,-24,-3593
15965,-15986,-316,-1674,-715,-63,-16,-3592
15975,-16022,-336,-1682,-714,-72,-25,-3592
15985,-16036,-286,-1652,-710,-79,-47,-3594
15995,-15988,-280,-1642,-705,-80,-54,-3591
16005,-16060,-274,-1684,-702,-54,-56,-3588
16015,-15982,-398,-1642,-700,-50,-69,-3593
16025,-16032,-384,-1662,-701,-58,-51,-3592
16035,-16042,-366,-1726,-700,-59,-34,-3593
16045,-16040,-350,-1692,-722,-55,-14,-3595
16055,-16066,-316,-1810,-721,-37,5,-3592
16065,-16050,-284,-1764,-714,-55,-8,-3585
16075,-16044,-278,-1690,-706,-66,-23,-3587
16086,-15984,-334,-1524,-714,-84,-45,-3591
16096,-15998,-312,-1642,-717,-68,-36,-3587
16106,-15988,-272,-1670,-716,-58,-24,-3588
16116,-16076,-314,-1690,-706,-70,-28,-3586
16126,-16066,-348,-1694,-710,-86,-53,-3584
16136,-16028,-350,-1774,-719,-73,-67,-3588
16146,-16010,-410,-1732,-723,-85,-59,-3592
16156,-15960,-476,-1598,-728,-85,-40,-3587
16166,-16026,-310,-1626,-723,-73,-17,-3586
16176,-15992,-274,-1618,-717,-66,-6,-3593
16186,-16118,-274,-1616,-714,-50,-10,-3588
16196,-16046,-338,-1620,-714,-70,-53,-3588
16206,-15970,-368,-1672,-708,-62,-57,-3590
16216,-16040,-344,-1686,-696,-56,-52,-3589
16226,-16022,-318,-1748,-678,-71,-63,-3593
16236,-15932,-378,-1654,-689,-86,-87,-3594
16246,-15984,-392,-1704,-708,-47,-65,-3596
16256,-15996,-516,-1652,-715,-33,-39,-3584
16266,-15992,-368,-1704,-718,-48,3,-3586
16276,-15976,-312,-1736,-703,-53,17,-3586
16286,-16032,-226,-1692,-686,-39,6,-3591
16296,-16016,-272,-1534,-690,-49,-26,-3587
16306,-15974,-290,-1610,-687,-53,-57,-3595
16316,-16004,-348,-1756,-694,-53,-68,-3594
16326,-15968,-396,-1620,-718,-78,-58,-3588
16336,-16034,-366,-1716,-731,-54,-24,-3588
16346,-16062,-338,-1760,-719,-57,-18,-3596
16356,-16004,-384,-1766,-719,-76,-34,-3595
16366,-16006,-372,-1630,-721,-98,-46,-3593
16376,-16016,-292,-1650,-729,-35,0,-3589
16386,-16016,-292,-1650,-729,-35,0,-3589
